team,win_prob,win,season,date,upset_win,upset_loss
Los Angeles Galaxy,0.6425313861150024,1,1998,1998-09-15,NA,0
DC United,0.6210413609040626,1,1998,1998-09-15,NA,0
Chicago Fire,0.7583762134740434,1,1998,1998-09-16,NA,0
Sporting Kansas City,0.24162378652595662,0,1998,1998-09-16,0,NA
Colorado Rapids,0.6191030494046951,1,1998,1998-09-18,NA,0
DC United,0.8452948254756742,0,1998,1998-09-18,NA,1
New England Revolution,0.6472466274642914,1,1998,1998-09-18,NA,0
Sporting Kansas City,0.6536623338620797,0,1998,1998-09-18,NA,1
Columbus Crew,0.38089695059530493,0,1998,1998-09-18,0,NA
Miami,0.15470517452432575,1,1998,1998-09-18,1,NA
Mutiny,0.3527533725357086,0,1998,1998-09-18,0,NA
FC Dallas,0.3463376661379203,1,1998,1998-09-18,1,NA
Los Angeles Galaxy,0.8625262834211148,0,1998,1998-09-19,NA,1
Houston Dynamo,0.13747371657888519,1,1998,1998-09-19,1,NA
Chicago Fire,0.7803570583221462,1,1998,1998-09-22,NA,0
New England Revolution,0.2196429416778538,0,1998,1998-09-22,0,NA
Columbus Crew,0.7317591174668814,0,1998,1998-09-23,NA,1
Mutiny,0.2682408825331186,1,1998,1998-09-23,1,NA
Colorado Rapids,0.6745991864616081,1,1998,1998-09-25,NA,0
New England Revolution,0.6621113353691633,0,1998,1998-09-25,NA,1
FC Dallas,0.3254008135383919,0,1998,1998-09-25,0,NA
New York Red Bulls,0.33788866463083667,1,1998,1998-09-25,1,NA
DC United,0.8064576221860459,1,1998,1998-09-26,NA,0
Houston Dynamo,0.6355572503014536,1,1998,1998-09-26,NA,0
Los Angeles Galaxy,0.6948788032695107,1,1998,1998-09-26,NA,0
Miami,0.7069692156813494,0,1998,1998-09-26,NA,1
Columbus Crew,0.19354237781395411,0,1998,1998-09-26,0,NA
Sporting Kansas City,0.3644427496985464,0,1998,1998-09-26,0,NA
Chicago Fire,0.3051211967304893,0,1998,1998-09-26,0,NA
Mutiny,0.2930307843186506,1,1998,1998-09-26,1,NA
Columbus Crew,0.6703545879815421,1,1998,1998-09-29,NA,0
DC United,0.820695232623236,1,1998,1998-09-29,NA,0
New York Red Bulls,0.3296454120184579,0,1998,1998-09-29,0,NA
Miami,0.17930476737676404,0,1998,1998-09-29,0,NA
Chicago Fire,0.7205369759138456,1,1998,1998-09-30,NA,0
Los Angeles Galaxy,0.827369662231211,1,1998,1998-09-30,NA,0
Colorado Rapids,0.2794630240861544,0,1998,1998-09-30,0,NA
FC Dallas,0.172630337768789,0,1998,1998-09-30,0,NA
New York Red Bulls,0.5756342355589176,0,1998,1998-10-02,NA,1
Columbus Crew,0.4243657644410824,1,1998,1998-10-02,1,NA
FC Dallas,0.3749109570965135,0,1998,1998-10-03,0,NA
Miami,0.3966804253583343,0,1998,1998-10-03,0,NA
